name,rate,rnk
College of the Atlantic,0.668785987,424.0
Bates College,0.905692069,52.0
Bowdoin College,0.943088936,17.0
Colby College,0.914057006,46.0
Husson University,0.44355265,1283.0
University of Maine at Augusta,0.127994093,2290.0
University of Maine at Farmington,0.564623434,777.0
University of Maine at Fort Kent,0.429199115,1344.0
University of Maine at Machias,0.306210526,1896.0
University of Maine,0.574103919,733.0
Maine Maritime Academy,0.75869591,238.0
University of Maine at Presque Isle,0.337516625,1759.0
University of New England,0.590973734,667.0
Maine College of Art,0.364862162,1639.0
Saint Joseph's College of Maine,0.533601961,908.0
University of Southern Maine,0.319955705,1826.0
Thomas College,0.43385058,1320.0
Unity College,0.452099102,1248.0
University of Baltimore,0.3759,1591.0
Bowie State University,0.349504101,1707.0
Capitol College,0.355586667,1673.0
Washington Adventist University,0.337046667,1760.0
Coppin State University,0.153439943,2247.0
Frostburg State University,0.453131383,1245.0
Goucher College,0.671355477,414.0
Kaplan University-Hagerstown Campus,0.356524791,1670.0
Hood College,0.633494939,541.0
Johns Hopkins University,0.923162246,37.0
Loyola University Maryland,0.842569714,112.0
University of Maryland-University College,0.037027273,2362.0
University of Maryland-Baltimore County,0.625628431,567.0
University of Maryland-College Park,0.830755683,122.0
Maryland Institute College of Art,0.717386957,312.0
University of Maryland Eastern Shore,0.319531603,1827.0
Morgan State University,0.310851319,1870.0
Mount St Mary's University,0.661369108,456.0
