Case and Offense,Case Number,Reported Date,Nature Of Call,From Date,Offense,Description,Block Address,City,State,Beat,Division,Council District,Attempt Complete,Location Type,Location Description,Location
200023625-35A,200023625,03/21/2020,PUBLIC INTOXICATION,03/21/2020 01:56:20 AM,35A,HSC 481.117(B) Poss CS PG 3 <28G 35A DRUG/NARCOTIC,2800 JEFF ST,FORT WORTH,TX,A12,,,C,20,20 RESIDENCE/HOME,"(32.77786018808845, -97.3058458249848)"
200023572-90E,200023572,03/20/2020,PUBLIC INTOXICATION,03/20/2020 08:56:55 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2100 JACKSBORO HWY NB,FORT WORTH,TX,D11,,,C,23,23 SERVICE/GAS STATION,"(32.78287969511691, -97.37639370658371)"
200023559-90E,200023559,03/20/2020,PUBLIC INTOXICATION,03/20/2020 07:25:54 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,5200 S HULEN ST,FORT WORTH,TX,K18,,,C,17,17 LIQUOR STORE,"(32.67335083099631, -97.39968272135177)"
200022755-90Z,200022755,03/18/2020,PUBLIC INTOXICATION,03/18/2020 03:10:41 AM,90Z,PC 38.03(A) Resisting Arr/Search/Transport 90Z ALL,7500 WICKER DR,FORT WORTH,TX,J16,South,6,C,18,18 PARKING LOT/GARAGE,"(32.632263076439465, -97.38997354572327)"
200022755-90E,200022755,03/18/2020,PUBLIC INTOXICATION,03/18/2020 03:10:41 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,7500 WICKER DR,FORT WORTH,TX,J16,South,6,C,18,18 PARKING LOT/GARAGE,"(32.632263076439465, -97.38997354572327)"
200022643-90E,200022643,03/17/2020,PUBLIC INTOXICATION,03/17/2020 05:25:00 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,1300 MILLER AVE,FORT WORTH,TX,G12,East,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.7312272205809, -97.26204638188963)"
200022562-90E,200022562,03/17/2020,PUBLIC INTOXICATION,03/17/2020 01:09:57 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2300 PRESIDIO VISTA DR,FORT WORTH,TX,F17,North,7,C,18,18 PARKING LOT/GARAGE,"(32.904521443483816, -97.32553824981615)"
200022462-90E,200022462,03/17/2020,PUBLIC INTOXICATION,03/17/2020 04:40:51 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,7500 LISA CT,FORT WORTH,TX,H14,East,5,C,20,20 RESIDENCE/HOME,"(32.73870402253076, -97.19281281093765)"
200022089-90E,200022089,03/15/2020,PUBLIC INTOXICATION,03/15/2020 10:03:14 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2800 MORTON ST,FORT WORTH,TX,K12,West,9,C,3,03 BAR/NIGHT CLUB,"(32.749275047257186, -97.35663298239825)"
200021896-90E,200021896,03/15/2020,PUBLIC INTOXICATION,03/15/2020 02:22:19 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2500 UNIVERSITY DR,FORT WORTH,TX,K12,West,7,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.734645912117486, -97.36153527133025)"
200021890-90Z,200021890,03/15/2020,PUBLIC INTOXICATION,03/15/2020 02:14:00 AM,90Z,PC 38.04(B) Evading Arrest Detention 90Z ALL OTHER,3000 BLEDSOE ST,FORT WORTH,TX,K12,West,9,C,3,03 BAR/NIGHT CLUB,"(32.748387519465375, -97.36040657506226)"
200021890-90E,200021890,03/15/2020,PUBLIC INTOXICATION,03/15/2020 02:14:00 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,3000 BLEDSOE ST,FORT WORTH,TX,K12,West,9,C,3,03 BAR/NIGHT CLUB,"(32.748387519465375, -97.36040657506226)"
200021890-26A,200021890,03/15/2020,PUBLIC INTOXICATION,03/15/2020 02:14:00 AM,26A,PC 31.04(E)(2)  2015 Theft of Service>=$100<$750 2,3000 BLEDSOE ST,FORT WORTH,TX,K12,West,9,C,3,03 BAR/NIGHT CLUB,"(32.748387519465375, -97.36040657506226)"
200021877-90E,200021877,03/15/2020,PUBLIC INTOXICATION,03/15/2020 01:30:50 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,3800 E LOOP 820 S,FORT WORTH,TX,G17,East,5,C,18,18 PARKING LOT/GARAGE,"(32.70804607426349, -97.23170135727909)"
200021870-90E,200021870,03/15/2020,PUBLIC INTOXICATION,03/15/2020 01:13:11 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2900 MORTON ST,FORT WORTH,TX,K12,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.74929856052946, -97.35845699293984)"
200021863-90E,200021863,03/15/2020,PUBLIC INTOXICATION,03/15/2020 12:00:00 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2400 N MAIN ST,FORT WORTH,TX,C13,,,C,3,03 BAR/NIGHT CLUB,"(32.788259620034516, -97.34922599109294)"
200021859-90E,200021859,03/15/2020,PUBLIC INTOXICATION,03/15/2020 12:19:40 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2900 BLEDSOE ST,FORT WORTH,TX,K12,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.7483627887982, -97.35846873362948)"
200021632-90E,200021632,03/14/2020,PUBLIC INTOXICATION,03/14/2020 02:00:00 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2900 MORTON ST,FORT WORTH,TX,K12,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.74929856052946, -97.35845699293984)"
200021631-90Z,200021631,03/14/2020,PUBLIC INTOXICATION,03/14/2020 02:22:02 AM,90Z,PC 38.03(A) Resisting Arr/Search/Transport 90Z ALL,1000 NORWOOD ST,FORT WORTH,TX,K12,,,A,13,13 HIGHWAY/ROAD/ALLEY,"(32.7491983474355, -97.36015911384956)"
200021631-90E,200021631,03/14/2020,PUBLIC INTOXICATION,03/14/2020 02:22:02 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,1000 NORWOOD ST,FORT WORTH,TX,K12,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.7491983474355, -97.36015911384956)"
200021629-90E,200021629,03/13/2020,PUBLIC INTOXICATION,03/13/2020 11:50:31 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,4700 BRYANT IRVIN RD,FORT WORTH,TX,K19,West,3,A,3,03 BAR/NIGHT CLUB,"(32.679960814427105, -97.414750838588)"
200021604-90E,200021604,03/13/2020,PUBLIC INTOXICATION,03/13/2020 11:12:24 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,5200 N TARRANT PKWY,FORT WORTH,TX,E13,North,4,C,3,03 BAR/NIGHT CLUB,"(32.89471063860623, -97.27124172923467)"
200021455-90E,200021455,03/13/2020,PUBLIC INTOXICATION,03/13/2020 01:00:00 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,3800 MAURICE AVE,FORT WORTH,TX,A13,Central,4,C,23,23 SERVICE/GAS STATION,"(32.775975399959144, -97.29028460669494)"
200021455-90C,200021455,03/13/2020,PUBLIC INTOXICATION,03/13/2020 01:00:00 PM,90C,GC 081 Disorderly Conduct 90C DISORDERLY CONDUCT 0,3800 MAURICE AVE,FORT WORTH,TX,A13,Central,4,C,23,23 SERVICE/GAS STATION,"(32.775975399959144, -97.29028460669494)"
200021309-90Z,200021309,03/13/2020,PUBLIC INTOXICATION,03/12/2020 11:42:13 PM,90Z,PC 38.03(A) Resisting Arr/Search/Transport 90Z ALL,3600 RUFUS ST,FORT WORTH,TX,G16,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.71036095799517, -97.26889629183765)"
200021309-90E,200021309,03/13/2020,PUBLIC INTOXICATION,03/12/2020 11:42:13 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,3600 RUFUS ST,FORT WORTH,TX,G16,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.71036095799517, -97.26889629183765)"
200021299-90E,200021299,03/12/2020,PUBLIC INTOXICATION,03/12/2020 10:42:42 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,200 W WEATHERFORD ST,FORT WORTH,TX,A15,,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.756779698990286, -97.33378778096485)"
200021264-90E,200021264,03/12/2020,PUBLIC INTOXICATION,03/12/2020 06:53:53 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,700 E BERRY ST,FORT WORTH,TX,I12,,,C,23,23 SERVICE/GAS STATION,"(32.70587052501893, -97.32023434658407)"
200021262-90E,200021262,03/12/2020,PUBLIC INTOXICATION,03/12/2020 08:31:00 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,1900 SOUTH FWY,FORT WORTH,TX,B16,Central,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.724177964005484, -97.32068623811199)"
200021064-90E,200021064,03/12/2020,PUBLIC INTOXICATION,03/12/2020 08:03:27 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,1700 E ROBERT ST,FORT WORTH,TX,B17,Central,8,C,18,18 PARKING LOT/GARAGE,"(32.71487469860845, -97.30204643099125)"
200020881-90E,200020881,03/11/2020,PUBLIC INTOXICATION,03/11/2020 04:47:55 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,5400 E BERRY ST,FORT WORTH,TX,G17,East,5,C,18,18 PARKING LOT/GARAGE,"(32.70857483771833, -97.2394038995957)"
200020799-90E,200020799,03/11/2020,PUBLIC INTOXICATION,03/11/2020 12:48:51 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,200 E 7TH ST,FORT WORTH,TX,A15,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.753053842148745, -97.32902874909334)"
200020796-90E,200020796,03/11/2020,PUBLIC INTOXICATION,03/11/2020 01:00:00 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,1300 CALHOUN ST,FORT WORTH,TX,A15,Central,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.750187642727084, -97.32624878622285)"
200020618-WAR,200020618,03/10/2020,PUBLIC INTOXICATION,03/10/2020 07:32:47 PM,WAR,OT WARRANT Out of Town Warrant WAR Warrants only 0,5300 E ROSEDALE ST,FORT WORTH,TX,G15,East,5,C,18,18 PARKING LOT/GARAGE,"(32.73064894219148, -97.24090762445643)"
200020618-90E,200020618,03/10/2020,PUBLIC INTOXICATION,03/10/2020 07:32:47 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,5300 E ROSEDALE ST,FORT WORTH,TX,G15,East,5,C,18,18 PARKING LOT/GARAGE,"(32.73064894219148, -97.24090762445643)"
200020350-WAR,200020350,03/10/2020,PUBLIC INTOXICATION,03/10/2020 12:59:36 AM,WAR,OT WARRANT Out of Town Warrant WAR Warrants only 0,100 E NORTHSIDE DR,FORT WORTH,TX,C11,,,C,7,07 CONVENIENCE STORE,"(32.776464041485994, -97.34577497611242)"
200020350-90E,200020350,03/10/2020,PUBLIC INTOXICATION,03/10/2020 12:59:36 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,100 E NORTHSIDE DR,FORT WORTH,TX,C11,,,C,7,07 CONVENIENCE STORE,"(32.776464041485994, -97.34577497611242)"
200020317-90E,200020317,03/09/2020,PUBLIC INTOXICATION,03/09/2020 10:15:19 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,1800 MILLER AVE,FORT WORTH,TX,G15,East,5,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.726983622171396, -97.26198440404234)"
200019992-90E,200019992,03/08/2020,PUBLIC INTOXICATION,03/08/2020 09:26:23 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2800 W 7TH ST,FORT WORTH,TX,K12,,,C,18,18 PARKING LOT/GARAGE,"(32.75106504227872, -97.35695461081986)"
200019800-90E,200019800,03/08/2020,PUBLIC INTOXICATION,03/08/2020 03:09:03 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,900 HOUSTON ST,FORT WORTH,TX,A15,Central,9,C,3,03 BAR/NIGHT CLUB,"(32.75163122119723, -97.33033789905055)"
200019794-90E,200019794,03/08/2020,PUBLIC INTOXICATION,03/08/2020 01:03:17 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,4400 DIPLOMACY RD,FORT WORTH,TX,H17,East,5,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.82707112008063, -97.04099716078751)"
200019779-90Z,200019779,03/08/2020,PUBLIC INTOXICATION,03/08/2020 12:57:52 AM,90Z,PC 38.03(A) Resisting Arr/Search/Transport 90Z ALL,900 FOCH ST,FORT WORTH,TX,K12,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.7497210212389, -97.35650738856046)"
200019779-90E,200019779,03/08/2020,PUBLIC INTOXICATION,03/08/2020 12:57:52 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,900 FOCH ST,FORT WORTH,TX,K12,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.7497210212389, -97.35650738856046)"
200019779-13B,200019779,03/08/2020,PUBLIC INTOXICATION,03/08/2020 12:57:52 AM,13B,PC 22.01(b-2) Assault Peace Officer/Judge 13B SIMP,900 FOCH ST,FORT WORTH,TX,K12,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.7497210212389, -97.35650738856046)"
200019767-90E,200019767,03/08/2020,PUBLIC INTOXICATION,03/08/2020 12:08:16 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,1200 FOCH ST,FORT WORTH,TX,K12,West,9,C,18,18 PARKING LOT/GARAGE,"(32.74731008111728, -97.35666524677603)"
200019727-90Z,200019727,03/07/2020,PUBLIC INTOXICATION,03/07/2020 08:51:05 PM,90Z,PC 38.03(A) Resisting Arr/Search/Transport 90Z ALL,8600 LAS VEGAS CT,FORT WORTH,TX,L16,,,C,18,18 PARKING LOT/GARAGE,"(32.73213599556003, -97.46748167881118)"
200019727-90E,200019727,03/07/2020,PUBLIC INTOXICATION,03/07/2020 08:51:05 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,8600 LAS VEGAS CT,FORT WORTH,TX,L16,,,C,18,18 PARKING LOT/GARAGE,"(32.73213599556003, -97.46748167881118)"
200019717-90E,200019717,03/07/2020,PUBLIC INTOXICATION,03/07/2020 08:23:25 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,800 S JENNINGS AVE,FORT WORTH,TX,B11,Central,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.73648005636329, -97.33004565185118)"
200019490-90Z,200019490,03/07/2020,PUBLIC INTOXICATION,03/06/2020 10:03:00 PM,90Z,PC 38.03(A) Resisting Arr/Search/Transport 90Z ALL,1300 HOUSTON ST,FORT WORTH,TX,A15,,,C,3,03 BAR/NIGHT CLUB,"(32.749044113507814, -97.3285811730429)"
200019490-90E,200019490,03/07/2020,PUBLIC INTOXICATION,03/06/2020 10:03:00 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,1300 HOUSTON ST,FORT WORTH,TX,A15,,,C,3,03 BAR/NIGHT CLUB,"(32.749044113507814, -97.3285811730429)"
200019471-90E,200019471,03/06/2020,PUBLIC INTOXICATION,03/06/2020 11:26:14 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,6600 NORTH FWY SR NB,FORT WORTH,TX,E12,North,4,C,3,03 BAR/NIGHT CLUB,"(32.86194498205664, -97.31388834080983)"
200019439-90E,200019439,03/06/2020,PUBLIC INTOXICATION,03/06/2020 09:25:51 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,5400 SOUTHWEST LOOP 820 FWY,FORT WORTH,TX,K18,,,C,18,18 PARKING LOT/GARAGE,"(32.68186135028241, -97.40618773383136)"
200019294-90E,200019294,03/06/2020,PUBLIC INTOXICATION,03/06/2020 01:06:39 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2900 WESTERN CENTER BLVD,FORT WORTH,TX,F17,North,2,C,7,07 CONVENIENCE STORE,"(32.8612849814981, -97.31838424747)"
200019112-90E,200019112,03/05/2020,PUBLIC INTOXICATION,03/05/2020 10:11:15 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2800 BLEDSOE ST,FORT WORTH,TX,K12,West,9,C,3,03 BAR/NIGHT CLUB,"(32.74833915495577, -97.35664503630622)"
200019106-90E,200019106,03/05/2020,PUBLIC INTOXICATION,03/05/2020 08:45:36 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,6100 MEADOWBROOK DR,FORT WORTH,TX,G19,,,C,21,21 RESTAURANT,"(32.74601826424729, -97.22279687255258)"
200018611-90E,200018611,03/04/2020,PUBLIC INTOXICATION,03/04/2020 02:31:48 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,5400 SUN VALLEY DR,FORT WORTH,TX,G18,East,5,C,17,17 LIQUOR STORE,"(32.67899656437364, -97.23944410718589)"
200018304-90E,200018304,03/03/2020,PUBLIC INTOXICATION,03/03/2020 03:35:40 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,3700 S HENDERSON ST,FORT WORTH,TX,J11,South,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.69492867902005, -97.33763898762241)"
200018094-90E,200018094,03/02/2020,PUBLIC INTOXICATION,03/02/2020 11:08:29 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,4200 FAIRFAX ST,FORT WORTH,TX,L14,West,3,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.70988931601845, -97.44478383301279)"
200017973-90E,200017973,03/02/2020,PUBLIC INTOXICATION,03/02/2020 05:13:00 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,6900 CAMP BOWIE BLVD,FORT WORTH,TX,L13,West,3,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.720309811812804, -97.43597161670874)"
200017903-90G,200017903,03/02/2020,PUBLIC INTOXICATION,03/02/2020 01:33:57 PM,90G,GC 109 Consume Alcohol Where Prohibited 90G LIQUOR,1100 CALHOUN ST,FORT WORTH,TX,A15,Central,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.751474788320635, -97.32712673886525)"
200017903-90E,200017903,03/02/2020,PUBLIC INTOXICATION,03/02/2020 01:33:57 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,1100 CALHOUN ST,FORT WORTH,TX,A15,Central,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.751474788320635, -97.32712673886525)"
200017868-90E,200017868,03/02/2020,PUBLIC INTOXICATION,03/02/2020 12:43:00 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,1300 COMMERCE ST,FORT WORTH,TX,A15,Central,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.75006194888844, -97.32650440935882)"
200017746-90E,200017746,03/02/2020,PUBLIC INTOXICATION,03/02/2020 01:45:58 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2900 WATAUGA RD,FORT WORTH,TX,A12,Central,9,C,20,20 RESIDENCE/HOME,"(32.790228424819205, -97.30499545983079)"
200017713-90E,200017713,03/01/2020,PUBLIC INTOXICATION,03/01/2020 09:40:02 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,1200 E SHAW ST,FORT WORTH,TX,I12,South,8,C,20,20 RESIDENCE/HOME,"(32.70108496595106, -97.31459145785036)"
200017708-90E,200017708,03/01/2020,PUBLIC INTOXICATION,03/01/2020 09:56:32 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2800 BLEDSOE ST,FORT WORTH,TX,K12,,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.74833915495577, -97.35664503630622)"
200017599-90E,200017599,03/01/2020,PUBLIC INTOXICATION,03/01/2020 01:40:37 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,800 W BELKNAP ST,FORT WORTH,TX,A16,Central,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.755165383442794, -97.33867686808536)"
200017595-90E,200017595,03/01/2020,PUBLIC INTOXICATION,03/01/2020 01:04:43 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,800 ELMWOOD AVE,FORT WORTH,TX,B15,Central,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.72520147184347, -97.32010793847691)"
200017585-90E,200017585,03/01/2020,PUBLIC INTOXICATION,03/01/2020 12:25:10 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2600 AZLE AVE,FORT WORTH,TX,D11,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.796509947373245, -97.3765857476064)"
200017516-90Z,200017516,03/01/2020,PUBLIC INTOXICATION,03/01/2020 02:46:00 AM,90Z,PC 38.04(B) Evading Arrest Detention 90Z ALL OTHER,2800 CROCKETT ST,FORT WORTH,TX,K12,West,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.75020596569033, -97.35787258132252)"
200017516-90E,200017516,03/01/2020,PUBLIC INTOXICATION,03/01/2020 02:46:00 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2800 CROCKETT ST,FORT WORTH,TX,K12,West,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.75020596569033, -97.35787258132252)"
200017509-90E,200017509,03/01/2020,PUBLIC INTOXICATION,03/01/2020 02:32:58 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2800 CROCKETT ST,FORT WORTH,TX,K12,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.7501916060246, -97.35662032512573)"
200017508-WAR,200017508,03/01/2020,PUBLIC INTOXICATION,02/29/2020 10:56:26 PM,WAR,OT WARRANT Out of Town Warrant WAR Warrants only 0,2400 N MAIN ST,FORT WORTH,TX,C13,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.788259620034516, -97.34922599109294)"
200017508-90Z,200017508,03/01/2020,PUBLIC INTOXICATION,02/29/2020 10:56:26 PM,90Z,PC 38.03(A) Resisting Arr/Search/Transport 90Z ALL,2400 N MAIN ST,FORT WORTH,TX,C13,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.788259620034516, -97.34922599109294)"
200017508-90E,200017508,03/01/2020,PUBLIC INTOXICATION,02/29/2020 10:56:26 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2400 N MAIN ST,FORT WORTH,TX,C13,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.788259620034516, -97.34922599109294)"
200017499-90E,200017499,03/01/2020,PUBLIC INTOXICATION,03/01/2020 12:35:07 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,4100 CUMBERLAND PASS,FORT WORTH,TX,L13,West,3,C,18,18 PARKING LOT/GARAGE,"(32.70506358606298, -97.41409129023198)"
200017498-90E,200017498,03/01/2020,PUBLIC INTOXICATION,03/01/2020 01:00:00 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,3000 BLEDSOE ST,FORT WORTH,TX,K12,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.74838615783889, -97.36028023686534)"
200017479-90E,200017479,02/29/2020,PUBLIC INTOXICATION,02/29/2020 11:07:37 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2800 MORTON ST,FORT WORTH,TX,K12,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.74927913001284, -97.3569478915648)"
200017475-90E,200017475,02/29/2020,PUBLIC INTOXICATION,02/29/2020 11:24:57 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2500 RODEO PLZ,FORT WORTH,TX,C11,,,C,3,03 BAR/NIGHT CLUB,"(32.79019943941121, -97.34820982562468)"
200017462-90E,200017462,02/29/2020,PUBLIC INTOXICATION,02/29/2020 10:05:37 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,8400 BOAT CLUB RD,FORT WORTH,TX,D15,,,C,3,03 BAR/NIGHT CLUB,"(32.87671902820894, -97.42597298559527)"
200017395-90E,200017395,02/29/2020,PUBLIC INTOXICATION,02/29/2020 05:34:21 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,4600 RIVER OAKS BLVD,FORT WORTH,TX,C16,Northwest,2,C,7,07 CONVENIENCE STORE,"(32.78149784136683, -97.38894220083246)"
